Unnamed: 0,Phase.1,Phase.1,Phase.1,Phase.1,Phase.1,Phase.1,Phase.1,Phase.1,Phase.1,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.2,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.3,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.4,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.5,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6,Phase.6
20799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0
28246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28702,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28914,0,2,1,1,0,0,0,0,0,2,0,2,4,0,0,0,6,0,0,0,0,0,0,7,38,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,24,5,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,3,0,0,1,0,0,1,6,0,2,0,0,10,0,1,0,16,14,0,0,0,0,11,0,0,4,0,1,1,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,11,0,12,0,0,8,2,0,2,7,0,0,0,7,6,13,0,2
29625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30062,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,3,1,0,0,0,0,0,0,5,0,0,2,0,2,10,1,0,78,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,13,12,0,0,0,1,1,1,0,0,0,0,5,0,2,0,0,0,10,0,0,0,0,16,0,0,0,0,1,4,8,0,5,0,0,0,0,0,9,0,15,13,0,0,30,0,0,0,0,0,0,114,0,0,0,1,0,2,0,1,1,5,0,20,0,0,1,0,1,20,0,6,0,0,1,6,0
